16,0
32,0
64,0
128,15625000
256,15625000
512,15625000
1024,31250000
2048,62500000
4096,171875000
8192,375000000
16384,828125000
32768,1671875000
16,0
32,0
64,0
128,15625000
256,0
512,15625000
1024,46875000
2048,78125000
4096,218750000
8192,375000000
16384,812500000
32768,1765625000
16,0
32,0
64,0
128,0
256,0
512,15625000
1024,46875000
2048,93750000
4096,187500000
8192,390625000
16384,859375000
32768,1968750000
16,0
32,0
64,15625000
128,0
256,0
512,15625000
1024,31250000
2048,78125000
4096,203125000
8192,375000000
16384,828125000
32768,2046875000
